x,y
49,60
42,71
52,75
63,57
67,63
44,66
47,68
40,52
46,74
60,54
59,57
50,69
48,78
57,78
64,73
41,51
63,54
62,74
49,51
67,67
50,41
76,44
61,51
77,60
80,80
72,77
44,71
60,75
69,51
53,65
66,60
72,44
78,72
45,78
59,76
66,40
50,54
57,65
72,59
40,55
41,55
59,54
41,61
73,41
43,67
74,46
79,59
65,69
74,55
53,76
57,76
58,50
75,73
49,61
57,65
80,46
44,50
63,80
79,74
80,51
66,51
70,70
65,63
40,77
71,53
80,42
73,64
41,49
47,80
49,47
49,74
46,68
43,52
57,78
51,75
54,43
64,41
77,58
72,42
73,50
47,57
50,74
49,57
44,47
45,40
51,48
49,68
43,60
43,66
40,44
53,70
43,70
44,47
52,48
77,59
47,49
75,71
77,66
63,59
80,43
80,55
45,69
44,47
54,51
51,44
54,51
46,66
52,66
58,65
75,40
64,51
45,47
59,65
67,40
77,75
65,50
62,47
51,52
80,57
60,69
57,40
56,76
63,63
80,71
41,56
77,78
45,55
53,44
55,77
51,72
67,50
47,47
59,65
44,46
68,73
54,67
44,58
78,42
80,63
43,70
69,40
75,43
49,51
61,77
78,79
56,47
59,54
68,65
76,47
70,57
45,73
51,67
55,63
78,65
59,62
56,66
80,43
68,65
45,50
40,47
65,63
59,41
65,43
45,78
59,70
62,48
68,71
48,62
50,55
54,65
41,73
57,63
62,61
42,47
51,47
62,47
49,55
70,73
65,59
68,76
51,79
67,42
80,67
66,55
72,62
71,56
76,59
49,71
80,49
47,75
70,66
65,60
62,42
44,46
66,50
65,78
75,74
41,54
71,43
56,54
76,56
52,53
72,64
53,73
54,46
78,59
41,50
53,71
63,41
46,42
40,67
64,41
80,45
56,56
58,59
46,63
44,41
60,72
67,41
60,56
46,63
43,42
41,66
41,47
43,42
46,56
68,67
40,67
42,40
53,75
44,49
40,52
79,40
41,76
40,78
63,79
64,66
41,74
77,45
73,71
51,77
76,79
53,45
73,50
42,64
71,40
53,78
76,43
48,42
52,47
66,64
71,63
42,52
42,41
50,67
74,72
78,68
73,76
68,55
52,77
44,63
62,59
76,69
56,62
72,60
41,54
49,66
75,42
66,68
52,63
74,46
50,68
60,53
56,43
69,42
49,53
63,63
66,75
77,68
80,69
57,57
52,59
50,76
80,46
64,43
55,70
78,54
63,59
67,40
76,58
60,43
69,48
53,69
42,62
68,63
42,75
77,70
60,46
71,73
79,49
72,40
71,54
45,74
80,44
51,73
67,78
53,73
77,55
73,80
60,62
71,46
71,80
71,59
71,56
77,62
49,63
63,50
79,73
78,40
42,49
44,51
47,50
72,40
51,71
52,42
44,50
43,46
58,72
57,62
80,47
72,71
48,76
60,56
60,52
46,69
60,80
53,56
45,50
46,46
61,41
61,76
40,43
80,59
67,79
70,72
57,47
59,71
77,59
73,75
73,59
61,66
44,59
46,69
69,48
76,69
80,50
69,47
74,51
54,71
64,52
40,73
65,64
40,80
46,69
44,62
49,64
75,72
54,72
77,52
46,61
77,48
52,52
71,48
50,77
65,61
53,68
63,53
80,45
48,58
52,55
71,66
59,69
64,48
78,41
44,76
77,67
74,62
76,73
51,56
72,47
50,63
40,52
51,80
55,70
68,58
60,54
72,73
54,72
43,64
55,57
58,66
57,64
56,64
71,53
68,54
80,71
47,63
68,60
68,70
61,42
56,64
43,55
56,77
71,45
80,70
61,78
51,52
78,62
45,49
55,60
66,48
42,55
41,60
44,76
65,60
65,44
45,54
60,74
66,80
69,77
78,46
66,47
45,52
73,43
51,51
48,41
77,74
76,46
62,61
75,70
56,70
48,62
40,55
57,42
51,77
62,50
42,74
70,47
78,50
50,43
41,59
77,73
62,49
42,77
45,75
65,50
51,63
55,77
71,69
63,67
47,57
44,59
43,42
74,72
61,52
70,54
75,40
64,46
58,58
53,75
